,Aggregate,Delayable,Social,Staple,Work Related
2020-01-13,93.97322222,97.07898516,88.84210693,95.79023548,91.24496998
2020-01-14,92.79815004,94.54525417,89.49648944,94.27783557,90.90499538
2020-01-15,92.67428904,93.91213162,90.90255033,93.12012243,91.71689517
2020-01-16,93.02360652,93.19305157,92.40377431,93.53753947,92.39456507
2020-01-17,93.13415493,92.13038069,93.56356666,93.81502988,93.3545655
2020-01-20,94.80196668,93.65895503,95.40526578,95.19054151,96.36147297
2020-01-21,95.18675149,93.67153935,95.99709679,95.74203552,97.0226693
2020-01-22,95.72639354,94.51474028,95.94470427,96.47171412,97.62255859
2020-01-23,95.67332056,94.64735434,95.73168537,96.2082433,98.26258957
2020-01-24,95.31201539,94.87107704,93.93744402,96.38820667,98.44593371
2020-01-27,98.09119861,99.27905245,96.81523681,97.72150228,99.06992525
2020-01-28,98.32233853,99.30692078,96.32697338,98.86946096,99.15826413
2020-01-29,98.9934573,100.1020273,96.48549114,100.0690666,98.9128383
2020-01-30,98.67771064,100.1594662,94.91044436,100.4020862,99.00346702
2020-01-31,100.6606793,101.8933621,98.84647385,101.2162981,99.40114089
2020-02-03,101.7584307,101.8116095,99.33734528,104.1608315,100.6246063
2020-02-04,102.0492198,102.5145261,100.1158952,103.5409846,100.9310189
2020-02-05,101.7620397,102.0407336,100.2669701,103.0232794,100.8185826
2020-02-06,101.9576365,101.0160536,102.2504846,103.0324352,100.6083126
2020-02-07,101.4117518,101.2721675,100.5756943,102.4760281,100.7503346
2020-02-10,96.98923906,96.47462026,96.71300109,97.25587759,99.59397322
2020-02-11,96.76127589,96.81267524,96.49372349,96.77478972,97.5689954
2020-02-12,96.61548793,96.53628348,96.37335502,96.62314221,98.01948368
2020-02-13,97.75945307,99.2150857,96.39220307,97.23139911,98.47250427
2020-02-14,98.55095357,99.71324381,96.18810115,99.43263271,98.47493861
2020-02-17,98.44390397,97.45208122,95.65587807,102.1200487,98.37751449
2020-02-18,100.5931878,98.84231292,100.8552523,102.5409257,99.52039692
2020-02-19,101.5936149,100.9118841,102.4823238,102.0208679,99.36943062
2020-02-20,101.7205392,100.9199225,104.224423,100.8357428,99.33667606
2020-02-21,101.4134925,100.6484611,106.2716818,98.31596079,99.10707953
2020-02-24,103.003793,104.2064776,108.6303523,97.14494814,100.0419815
2020-02-25,100.5937472,101.6040062,103.0232108,97.13429693,101.0828207
2020-02-26,99.50601764,99.70469235,100.3038345,98.10892648,101.5676652
2020-02-27,98.68724863,99.093638,97.91935099,98.13696017,102.3963818
2020-02-28,98.82896714,99.20952497,95.92691926,100.0899223,103.337303
2020-03-02,103.7569884,104.8899202,98.07827504,106.8375449,107.7214062
2020-03-03,104.8491474,106.7200485,98.47193305,107.60603,109.4573963
2020-03-04,105.8349683,107.271052,99.05905084,109.5137343,110.114619
2020-03-05,106.7004755,108.7355491,98.75124894,111.016519,109.9037427
2020-03-06,107.1523798,109.8875231,98.85814963,111.1786378,109.536648
2020-03-09,104.4228916,107.6826358,95.75135477,108.2935138,106.412744
2020-03-10,104.0207806,107.300553,94.59903959,108.8462839,104.6644423
2020-03-11,103.5499111,107.1681215,94.49483203,107.7914129,103.5903982
2020-03-12,103.0940721,106.2028509,93.98893998,108.0362795,102.7374454
2020-03-13,102.5930265,106.0217555,91.04856861,109.6101837,101.3162302
2020-03-16,100.4802623,103.5160864,80.75873138,115.7177655,97.8486433
2020-03-17,100.2000383,103.2110673,76.50126281,119.4079634,96.17653072
2020-03-18,99.92137869,102.3038117,72.40267959,123.5198313,95.01877666
2020-03-19,98.64737535,100.5159427,66.15924182,127.3818403,93.6967478
2020-03-20,97.16438981,99.05261792,61.06139815,129.1051821,92.59653015
2020-03-23,81.26013992,80.93253098,39.2590313,118.9157525,86.72880464
2020-03-24,76.89596652,76.056818,36.35638736,113.7012022,82.75158902
2020-03-25,70.5449081,69.34331223,30.94797495,106.520226,78.12446894
2020-03-26,65.43112129,63.72772651,28.19244325,100.3024585,70.71333308
2020-03-27,60.19051856,57.42546376,25.64723199,94.11007853,63.93921945
2020-03-30,49.91783573,44.14189379,17.26234018,87.20021693,45.65284088
2020-03-31,50.05417684,44.51102385,18.93761349,86.74110278,40.805627
2020-04-01,51.4475942,46.72298001,19.04179019,89.53882485,36.91844605
2020-04-02,52.67620387,48.20239259,19.21834006,91.83589649,36.36013343
2020-04-03,53.47518265,49.30313354,19.47731872,93.13836347,35.55331697
2020-04-06,55.59435429,51.7706826,23.42439332,93.80263162,34.84915914
2020-04-07,54.87659808,51.22916808,20.91539238,94.28961504,35.23974867
2020-04-08,54.58419709,51.87022352,20.35760245,93.12663519,35.27464936
2020-04-09,55.13841413,53.08542939,20.5442095,93.41450856,35.19978052
2020-04-14,52.03975869,53.37972157,19.90665101,83.70577922,34.72017213
2020-04-15,53.29740764,53.31009265,20.41623603,87.54442733,34.06319854
2020-04-16,52.68502673,52.70652681,20.34353159,86.24520925,34.29846958
2020-04-17,53.88299444,54.01346203,20.10060244,88.79211081,34.79586548
2020-04-20,54.16696885,54.40970174,21.705002,87.69973607,35.27255376
2020-04-21,57.53012105,56.40053706,20.6370327,97.42961918,35.04094469
2020-04-22,56.80021965,56.78833771,20.78693863,94.23133954,36.22988385
2020-04-23,57.27125567,57.04227133,21.35827526,94.94327437,36.28262463
2020-04-24,57.56417439,57.17192196,21.58096799,95.36306118,37.131798
2020-04-27,60.0183635,59.87269803,22.76380003,98.62887183,39.94437174
2020-04-28,60.62613871,60.67573206,23.03430241,99.34749312,40.45872717
2020-04-29,61.47192072,61.88061007,23.48025159,100.3001924,40.64574869
2020-04-30,61.932544,62.32502805,23.5648986,101.1595866,40.93790979
2020-05-01,63.46991298,64.02143366,24.19468644,103.7102147,40.80630025
2020-05-04,64.0768867,64.91594218,25.15603102,103.6943382,41.30646763
2020-05-05,65.36466009,65.88855255,25.47173421,106.4441435,41.5756693
2020-05-06,65.39174369,65.94949961,25.39286543,106.3635208,42.37710735
2020-05-07,65.91408696,66.97871707,25.51323319,106.5941955,43.33288069
2020-05-11,64.12100938,65.52583703,26.68360333,101.0208986,44.72193154
2020-05-12,63.74022937,64.91599595,26.91304467,100.2231796,44.87010482
2020-05-13,63.46098153,65.37992641,27.31062959,98.41085696,44.97455398
2020-05-14,63.20547671,65.26567769,27.55183525,97.39483983,45.40445825
2020-05-15,64.11449203,66.29544069,27.33188567,99.26695683,46.0164156
2020-05-18,66.19090765,68.00692781,29.7900144,101.2945336,48.58937122
2020-05-19,65.88586684,68.60265909,30.04002386,99.14244224,49.8251601
2020-05-20,66.65495433,69.35208226,30.0455278,100.6149967,50.67712201
2020-05-21,67.30529789,70.50265815,30.36774605,100.987833,51.41582197
2020-05-22,68.21823093,71.94938882,30.99499069,101.5544608,52.38195708
2020-05-26,69.31348133,73.56015484,33.60494244,100.4403699,54.6184252
2020-05-27,70.37318366,73.03512429,34.91258232,103.1767355,55.06166046
2020-05-28,70.35772926,72.67024182,35.34717494,102.976339,55.80346611
2020-05-29,70.91348502,72.5706028,35.61963318,104.3924791,56.9691265
2020-06-01,72.02340925,73.12878739,38.37712625,104.1748699,60.09765357
2020-06-02,76.0023946,77.08826041,36.90518227,113.2859266,63.52994831
2020-06-03,75.41818423,76.94130001,36.92838312,111.2585893,64.79317181
2020-06-04,75.83286639,76.74719743,37.84066351,111.9068108,65.16613679
2020-06-05,75.57679092,77.28939285,38.48799663,110.0400093,64.40562324
2020-06-08,77.10398308,83.54927431,40.79113685,106.5492563,61.38003315
2020-06-09,76.03945082,83.11768657,40.81050843,103.7229702,60.60190636
2020-06-10,75.98318909,84.62517535,40.86145597,101.8907743,60.22235677
2020-06-11,76.58509223,87.03132678,41.15753819,100.9159925,60.08478098
2020-06-12,76.41112432,86.79980573,41.04348361,100.6906731,60.19285071
2020-06-15,75.43230189,84.23325986,41.35920052,99.64314139,62.26342287
2020-06-16,76.48571267,85.93059873,42.07227045,100.2869343,63.3250418
2020-06-17,77.284405,87.22319658,42.7486289,100.7199298,63.77958907
2020-06-18,77.55497284,87.19014672,43.17062203,101.1206336,64.37703354
2020-06-19,78.32826733,88.45180494,43.71416624,101.5978621,64.96830036
2020-06-22,82.48461873,96.38549423,44.64766018,104.8990652,67.20347112
2020-06-23,82.37920841,96.41053516,44.68023894,104.4285036,67.52950968
2020-06-24,82.62550134,97.10006031,44.4668602,104.4083517,68.66731836
2020-06-25,81.12262073,95.34242857,41.46772052,104.33942,68.19035587
2020-06-26,83.6944928,98.66771955,45.39446117,104.70757,71.3231527
2020-06-29,85.79602274,100.2342402,48.36985731,106.147292,75.55557361
2020-06-30,86.58623002,100.9161045,49.58323604,106.7420841,76.01594611
2020-07-01,87.50176507,100.7627953,50.61472287,108.9145625,76.14855121
2020-07-02,89.44961467,103.3439118,52.06449513,110.6524553,77.90381724
2020-07-03,88.09822555,102.9225292,48.04426107,110.7308471,76.43799719
2020-07-06,87.30511408,102.1955159,49.35793868,108.0721486,75.00531356
2020-07-07,87.35920752,101.5963535,49.84375054,108.2774744,75.91004654
2020-07-08,86.93110408,102.5034282,50.36699021,105.300588,76.34236041
2020-07-09,86.89177968,101.6450745,53.02147613,103.6906017,76.38964506
2020-07-10,85.95676934,99.38253351,53.79580833,102.427083,76.59781792
2020-07-13,84.48646606,94.05729556,55.48765419,101.3723028,79.74858278
2020-07-14,84.29961348,94.16527618,55.4752701,100.5551334,80.21617395
2020-07-15,84.06320933,93.12176989,55.69519632,100.6724692,80.58390145
2020-07-16,84.02553719,93.58275681,55.51491829,100.0677073,81.19793763
2020-07-17,83.97878756,92.38271738,56.49380532,100.1838205,82.01655541
2020-07-20,83.19102457,91.14006137,55.22627222,99.99764959,82.8347302
2020-07-21,82.40326158,89.89740537,53.95873913,99.81147867,83.65290498
2020-07-22,81.05234978,89.65405018,51.64124308,97.68409706,84.2696122
2020-07-23,79.3460125,87.27354657,48.95303906,97.14348706,84.82225092
2020-07-24,80.37476938,88.66960517,50.51035232,97.40166289,85.2758955
2020-07-27,81.69800519,90.49991001,51.62086783,98.74240247,84.79296446
2020-07-28,83.021241,92.33021485,52.73138334,100.0831421,84.31003342
2020-07-29,84.87477803,92.433835,55.36902796,103.5857673,84.25310891
2020-07-30,86.99804544,94.98277793,58.86768798,104.3437287,84.65943724
2020-07-31,87.38715707,95.52349161,58.58436937,105.0601491,85.60135269
2020-08-03,90.33329441,98.17820034,59.2175537,109.9983366,90.64458508
2020-08-04,90.53525276,99.78838614,59.57895173,108.2160989,92.07383813
2020-08-05,90.11929278,99.19662369,60.06160863,107.0124906,92.40515337
2020-08-06,90.2487684,98.97689897,60.20712736,107.5273622,92.48882328
2020-08-07,90.09982771,99.36272236,60.18874869,106.6840673,92.23409349
2020-08-10,87.28779079,95.97537767,59.17574702,102.5103664,91.07757833
2020-08-11,86.69612282,94.71644935,59.54100559,101.5992389,91.36118655
2020-08-12,86.54579452,94.27692832,59.75331812,101.2562508,92.06304867
2020-08-13,85.56242284,92.83251524,59.72649717,99.59922638,92.53069562
2020-08-14,85.37532195,92.17453757,59.99856017,99.51093581,92.37529382
2020-08-17,86.50771422,95.10804817,60.72022716,99.69601291,90.31025203
2020-08-18,86.54453666,95.84061759,60.78973314,99.08011372,89.62943852
2020-08-19,86.90642339,97.27323868,60.80063932,98.70416127,89.35477738
2020-08-20,87.23730542,98.10795344,61.54526698,98.23066859,89.04735602
2020-08-21,86.77087741,97.82453129,60.56601517,97.8181131,89.56131666
2020-08-24,88.0151222,99.46197291,62.84677127,97.70094324,90.67893731
2020-08-25,88.4573605,100.5307643,62.79172446,97.86786022,91.26328994
2020-08-26,87.57042378,99.19290513,60.49474107,98.59899651,91.19872974
2020-08-27,89.75346341,102.6348183,62.16036442,100.1396095,92.03438952
2020-08-28,91.29392752,104.6023349,63.92442576,101.272105,92.30347962
2020-09-01,95.43571802,108.9400723,68.29298711,105.0648069,96.08538584
2020-09-02,99.09885391,113.8460025,70.9203615,108.7977105,97.38286529
2020-09-03,97.98878503,112.1284767,69.52527863,108.4523115,97.08552959
2020-09-04,97.02082197,110.1957891,69.18411071,107.8447162,96.78378451
2020-09-07,94.11859884,102.7937702,70.76638678,105.2712097,96.6296213
2020-09-08,93.67186209,105.3736953,66.0197872,105.8092144,94.19384432
2020-09-09,90.54985029,100.4146571,66.08457406,101.350535,93.25572895
2020-09-10,89.3550677,97.70845559,65.7296935,100.7729922,93.46416306
2020-09-11,88.70624161,96.82954734,65.31323209,100.0002358,93.59577832
2020-09-14,90.03678635,101.7734052,65.06113445,98.86289458,94.36811543
2020-09-15,87.60939735,95.05528377,64.62244525,98.74476379,95.02147444
2020-09-16,87.35825044,94.33039492,64.58018347,98.67087221,95.51642955
2020-09-17,87.80589774,95.3058071,65.18076394,98.56478601,95.14710848
2020-09-18,86.63101007,94.02809506,62.81783338,98.38263293,94.94780823
2020-09-21,88.47563127,97.26022986,64.84666003,99.23353405,93.42658983
2020-09-22,87.70936451,95.89344672,64.34684192,98.93395334,92.47626926
2020-09-23,88.08238662,96.99200141,63.71608995,99.724222,91.41729328
2020-09-24,87.53386956,96.24761906,62.45626261,100.1240959,90.50671009
2020-09-25,88.73831694,97.88675921,64.27440196,100.7015725,89.75862477
2020-09-28,89.4656934,98.0551492,62.36886912,104.7237607,89.28566727
2020-09-29,90.0879079,98.33667832,62.34231924,106.4910816,89.11819453
2020-09-30,90.35855353,98.61964735,62.48848847,106.9184136,89.1269372
2020-10-01,91.96614527,100.8225167,63.031273,109.0367151,89.80355043
2020-10-02,92.83539411,101.6692662,63.32899367,110.5403816,90.27463711
2020-10-05,93.50673623,105.5055928,64.00395029,108.5764233,86.7484349
2020-10-06,92.92244727,106.6554761,64.22832475,105.3148,86.15870217
2020-10-07,93.34305631,106.9083334,63.98233522,106.7075385,85.77136865
2020-10-08,92.15384615,106.2517456,63.3269213,104.2713552,85.33789868
2020-10-09,90.07621556,105.3180059,59.63250934,102.1076531,84.59926832
2020-10-12,89.39015077,103.4650414,61.12557945,100.3457724,85.6944671
2020-10-13,89.55177898,103.0779836,60.60474601,101.8142444,85.53758075
2020-10-14,88.25472858,101.6823208,60.484061,99.29681557,85.41504286
2020-10-15,88.26630288,101.7175358,60.19476486,99.60914615,85.18717127
2020-10-16,89.37634216,101.7714744,63.5082998,100.0748011,85.39891522
2020-10-19,87.92034685,100.3906626,59.94109667,100.375979,84.37178959
2020-10-20,87.98648665,100.4824847,59.95307299,100.5310831,84.12218707
2020-10-21,87.89695888,100.024595,59.92534394,100.9425732,83.35534372
2020-10-22,87.63660041,99.1022726,60.15150159,101.0028888,82.97180236
2020-10-23,87.98643297,100.1808827,60.16538312,101.0505247,82.37291716
2020-10-26,88.50438098,99.81248188,60.77389767,102.7442451,81.64626135
2020-10-27,89.54393757,101.778765,61.33941486,103.3909545,81.71819055
2020-10-28,90.83942033,104.1410193,62.00895239,104.2504062,82.16582809
2020-10-29,92.0537736,105.9875651,62.47564029,105.6337598,82.49556324
2020-10-30,92.76909994,106.2181516,63.34086489,106.8785025,82.63081651
2020-11-02,98.44403124,114.1343693,65.80547633,113.8607653,84.26205043
2020-11-03,101.1143276,118.6993594,66.08018904,116.9932907,85.1443594
2020-11-04,103.2568403,123.6271671,65.00179157,119.1745542,86.35335557
2020-11-05,105.1138202,128.6431301,64.68949654,119.6284112,87.5603608
2020-11-06,101.8615642,122.8536674,62.51824754,117.749715,86.49599369
2020-11-09,87.02337269,95.76730896,53.58167334,110.1881624,76.32026561
2020-11-10,81.7509171,85.17877738,52.19400824,106.7937401,73.38809209
2020-11-11,77.32779779,76.06588359,51.03702074,104.3306008,70.30688291
2020-11-12,73.13389917,66.5205129,50.57709035,102.5669097,66.71585536
2020-11-13,74.1031908,68.28026776,51.26226357,103.3779413,65.52858563
2020-11-16,76.71041482,73.0834072,53.68515213,104.3788189,64.98715914
2020-11-17,77.31470372,74.88182144,53.17120377,104.7825663,65.08266311
2020-11-18,77.8385289,76.16873392,53.284884,104.9197471,65.18695467
2020-11-19,77.89521994,77.07610585,51.97382765,105.2534681,65.35996496
2020-11-20,78.39401877,78.53435843,51.36910251,105.7529598,65.57047216
2020-11-23,81.05640912,83.95621065,51.74468346,107.725072,66.84637744
2020-11-24,82.28098156,86.61935929,51.91493744,107.9878446,69.55506277
2020-11-25,83.0278518,87.87270481,52.09735058,108.855726,69.51323569
2020-11-26,84.48765387,89.96527723,52.93413181,110.4677145,69.63378858
2020-11-27,86.09652927,92.72772647,53.49754268,111.9993428,70.06286557
2020-11-30,93.00163256,106.2681457,54.80749666,117.6279231,72.26521821
2020-12-01,95.65073263,111.1952854,55.13393828,120.7810792,70.63497435
2020-12-02,97.0223802,111.5642998,56.03234275,123.6530855,72.25473206
2020-12-03,101.1093128,121.9572494,56.50285442,124.4914387,74.08736663
2020-12-04,103.2503775,126.8307681,57.33329257,124.9153588,75.59805913
2020-12-07,109.4683015,143.6599188,59.6423222,122.9988543,81.15224829
2020-12-08,110.5672045,147.4194009,60.17549975,121.6165225,82.37312865
2020-12-09,113.1078823,155.0102963,60.6438959,120.7923052,83.1483315
2020-12-10,111.7784471,150.6961505,61.01158874,120.8805728,83.50398866
2020-12-11,111.9582325,151.0374538,60.95954075,121.084318,83.72035138
2020-12-14,110.7075966,148.0695161,61.39460279,120.1061034,82.94610829
2020-12-15,111.1313325,148.4012536,61.45804825,121.1328376,82.58016434
2020-12-16,111.516346,148.7974615,61.61287998,121.8139325,82.51157537
2020-12-17,111.6607584,149.116577,60.89165113,122.670982,82.12230334
2020-12-18,112.0303759,149.3814326,60.52699634,123.8981142,82.17672444
2020-12-21,112.1781505,145.1514427,58.27684174,131.1962172,82.03624123
